ts	phase	decision	why	evidence	result
2026-08-28T19:18:25Z	frame	treated the specification as one cumulative replacement release	its release criteria and migration text say OpenCode deletion is required	docs/spec/2026-08-28-openwiki-aligned-platform.md:924	full scope retained
2026-08-28T19:18:25Z	baseline	ran the unchanged test suite before design	needed a known-good behavior baseline for the migration	pytest -q	284 passed, 1 skipped
2026-08-28T19:18:25Z	workflow	switched from Feature to Figure It Out	the change crosses every runtime boundary and needs an auditable multi-phase run	.audit/openwiki-platform.tsv	workflow active
2026-08-28T19:19:18Z	frame	set the completion predicate to every numbered requirement and release criterion with direct evidence	the document defines one cumulative release and rejects partial cutover	docs/spec/2026-08-28-openwiki-aligned-platform.md:1096	109 requirements and the release checklist remain open
2026-08-28T19:19:18Z	frame	set rigor to high	credentials, authorization, crash recovery, publication, and process ownership are costly to reverse	docs/spec/2026-08-28-openwiki-aligned-platform.md:101	harness and architecture gates required before production edits
2026-08-28T19:33:04Z	architecture	selected candidate A as the design base	both reviews found its fencing, publication, security boundaries, and migration gates most precise	/tmp/cmdp-architect/judge.md	base selected with targeted grafts from B and C
2026-08-28T19:33:04Z	architecture	kept request-time run input capture	the job returned to the operator must already identify immutable source and model inputs	/tmp/cmdp-architect/candidate-a.md:63	worker-time capture rejected
2026-08-28T19:39:18Z	architecture	wrote and reviewed the synthesized architecture package	the implementation now has one checked contract for types, ownership, crashes, security, and migration order	docs/architecture/openwiki-platform.md	reviewed against the spec and arena red flags
2026-08-28T19:39:18Z	harness	generated an executable evidence manifest for every specification item	completion must be derived from rerunnable evidence instead of a claimed status	scripts/verify_spec.py, verification/spec_evidence.json	141 items tracked, 0 verified, 141 pending
2026-08-28T19:39:18Z	harness	fixed relative path handling found during delegated-code review	the verifier ignored caller-supplied relative spec and manifest paths	tests/test_verify_spec.py::test_check_uses_custom_relative_paths	13 focused tests and 297 full tests pass
2026-08-28T19:50:15Z	implementation	landed unit 0.1 as a typed answer seam with a legacy adapter and Discord presenter	this preserves current behavior while isolating the runtime dependency behind one replaceable boundary	tests/architecture/test_answer_boundary.py, tests/contract/test_discord_presentation.py	44 focused tests and 305 full tests pass with one skipped
2026-08-28T19:50:15Z	harness	attached Discord behavior tests to ACC-017	evidence-backed progress must come from rerunnable behavior rather than a stored status	verification/spec_evidence.json	1 item verified, 140 pending, 0 failed
2026-08-28T19:50:15Z	environment	re-ran pytest evidence with the interpreter behind the project pytest executable	the shell python3 installation does not include pytest on this host	pytest --version and scripts/verify_spec.py --run	evidence run completed with the expected pending exit
2026-08-28T19:51:53Z	judge	removed a fixed all-pending assertion from the verifier test	the independent judge found that recording the first verified item made the full suite fail	tests/test_verify_spec.py::test_cli_run_reports_current_manifest_progress	305 passed, 1 skipped; manifest reports 1 verified and 140 pending
2026-08-28T19:57:47Z	deployment	copied the new app package into the current container image	dependency scanning found that main imported the unit 0.1 adapter but Docker omitted its package	Dockerfile, tests/architecture/test_answer_boundary.py::test_container_copies_answer_service_package	container import path is covered by a regression test
2026-08-28T20:06:10Z	implementation	landed unit 0.2 as framework-free current-behavior protocols and loopback fakes	later adapters need deterministic Git, model, and Discord services without live credentials	app/domain, app/ports, tests/fakes.py	13 architecture and 6 credential-free contract tests pass
2026-08-28T20:06:10Z	compatibility	removed post-3.11 typing helpers from architecture tests	the deployed image uses Python 3.11 even though the development pytest interpreter is newer	Dockerfile, tests/architecture/test_platform_boundaries.py	production domain and protocol modules import under Python 3.11
