ts	phase	decision	why	evidence	result
2026-08-31T20:14:25Z	frame	set high rigor and six verified implementation units	this change rewrites storage authorization external API Discord routing and frontend ownership	docs/spec/2026-08-31-agents-delivery-plan.md	in progress
2026-08-31T20:14:25Z	frame	used the settled versioned Agent design and skipped a second architecture arena	the prior arena already compared three complete designs and a second bakeoff would not reduce risk	docs/spec/2026-08-31-agents-delivery-plan.md:577	verified design input
2026-08-31T20:14:25Z	frame	counted 219 Go files with 84 tests and 64 frontend files with 19 tests	quantified the affected repository before starting the rewrite	rg --files internal; rg --files frontend/src	scope captured
2026-08-31T20:14:35Z	baseline	captured frontend and capsule test baselines	later slices need a known pre-change result	frontend package scripts; capsule package scripts	frontend 76 passed; capsule 9 passed
2026-08-31T20:14:35Z	baseline	marked Go and generated OpenAPI checks inconclusive	the host could not find the go executable rather than reporting a test result	go test -race -count=1 -p=1 ./...; npm --prefix frontend run check:api	INCONCLUSIVE: go not on PATH
2026-08-31T20:22:33Z	baseline	superseded the host Go result with a pinned Go 1.27 Docker run without PostgreSQL	the repository and CI require Go 1.27 and the image is locally cached	docker run golang:1.27.0-bookworm go test -race -count=1 -p=1 ./...	PASS with database integration tests skipped because TEST_DATABASE_URL was absent
2026-08-31T20:22:33Z	baseline	ran database-backed suites against a newly created disposable PostgreSQL 18 database	fresh database execution distinguishes existing test drift from Agents regressions	docker run golang:1.27.0-bookworm go test -race -count=1 -p=1 ./...	FAIL before Agents edits: knowledgebases test fixture omits jobs.concurrency_key and concurrency_limit; schema parity expects 505 columns and 98 indexes but baseline creates 509 and 99
2026-08-31T20:22:33Z	grounding	mapped the answer runtime and API boundaries read-only	the cutover must retain proven execution primitives while replacing KB ownership and transport contracts	/root/impact_answer_api report	ISSUES: one-KB Answer service, generic conversations, KB ANSWER assignment, and KB-bound Discord remain
2026-08-31T20:25:54Z	grounding	mapped schema provider and persistence boundaries read-only	Agent identity and immutable configuration must reuse existing UUID version idempotency audit and event patterns	/root/impact_schema_agents report	ISSUES: ten new tables need concrete columns; current callers still depend on every legacy table; Discord overlap is preflight-only
2026-08-31T20:25:54Z	frame	kept one shared worktree and serialized all future writers	the authoritative replacement tree is broadly untracked and committing or concurrent editing could capture or overwrite unrelated user work	git status --short --branch	writers will be delegated one at a time and parent-reviewed; no mixed commits
2026-08-31T20:27:40Z	grounding	completed three-way impact aggregation and a separate synthesis	the implementation order must account for schema runtime API Discord frontend and generated-contract coupling	/root/impact_schema_agents; /root/impact_answer_api; /root/impact_discord_ui; /root/synthesize_impact	PASS: six dependency-ordered units with hidden coupling identified
2026-08-31T20:27:40Z	decision	made Unit 1 additive and deferred destructive DDL to the caller cutover	deleting conversations query_runs ANSWER or renaming channel bindings first would break executable callers and make the intermediate tree unverifiable	synthesis required reframe	accepted; final product remains a hard cutover with no compatibility surface
2026-08-31T20:27:40Z	predicate	defined completion as final Agent-only schema and runtime plus multi-KB collision proof scoped tokens stateless OpenAI JSON and SSE Discord race safety legacy absence clean generated artifacts and full clean-database test gates	the predicate covers every milestone with observable pass or fail evidence	docs/spec/2026-08-31-agents-delivery-plan.md verification strategy	locked
2026-08-31T20:59:02Z	unit1	added the Agent catalog foundation without destructive legacy changes	callers must migrate before conversations ANSWER and KB-bound Discord can be deleted	db/migrations/00001_baseline.sql; internal/agents; generated sqlc	PASS: 50 tables 582 columns 120 indexes; stable Agents immutable versions ordered memberships token/run storage
2026-08-31T20:59:02Z	unit1	accepted ACTIVE plus HEALTHY endpoint readiness and bounded keyset pagination	activation must fail closed on an unproven provider and Agent count must not force unbounded reads	internal/agents/store.go; internal/agents/catalog_postgres_test.go	PASS: UNKNOWN rejected HEALTHY accepted; pages capped at 100
2026-08-31T20:59:02Z	unit1	verified catalog idempotency optimistic replacement readiness rollback immutable history and transactional audit/events	these are the domain invariants every transport will depend on	TEST_DATABASE_URL=ref0_agents_parent_verify go test -race -count=1 -p=1 ./internal/agents ./internal/database/... ./internal/migrate	PASS
